Master file Fergusson College Botanical Garden census,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr. no,Team,Census date,Species,GBH1,GBH2,GBH3,GBH4,GBH5,GBH6,GBH7,GBH8,GBH9,GBH10,GBH11,GBH12,Height (visual estimate),Tag number,Remarks,
526,"Ashish, Pranav",18-05-2018,Broussonetia papyrifera,31,,,,,,,,,,,,4,,,
527,"Ashish, Pranav",18-05-2018,Ehretia laevis,14,,,,,,,,,,,,2.5,,,
528,"Ashish, Pranav",18-05-2018,Combretum latifolium,35,,,,,,,,,,,,3,,liana,
529,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,72,10,10,,,,,,,,,,6,,,
530,"Ashish, Pranav",18-05-2018,Broussonetia papyrifera,24.5,,,,,,,,,,,,4,,,
531,"Ashish, Pranav",18-05-2018,cassia siamea,83,87,31.5,,,,,,,,,,10,,,
532,"Ashish, Pranav",18-05-2018,Terminalia tomentosa,176.2,,,,,,,,,,,,16,,,
533,"Ashish, Pranav",18-05-2018,Tabebuia avellanidae,6,,,,,,,,,,,,3,,near Cordia garaf; addition to FC flora. ,
534,"Ashish, Pranav",18-05-2018,Annona squamosa,6,,,,,,,,,,,,3,,inside nursery fence,
535,"Ashish, Pranav",18-05-2018,Helicteres isora (?),6,,,,,,,,,,,,3.5,,"In B1 sector, near Bougainvillea and Plumerias",
