Master file Fergusson College Botanical Garden census,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr. no,Team,Census date,Species,GBH1,GBH2,GBH3,GBH4,GBH5,GBH6,GBH7,GBH8,GBH9,GBH10,GBH11,GBH12,Height (visual estimate),Tag number,Remarks,
98,"Ashish, Pranav",18-05-2018,dead (cycas circinalis),119,,,,,,,,,,,,6,,,
99,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,20.9,,,,,,,,,,,,5,,,
100,"Ashish, Pranav",18-05-2018,Bombax ceiba,25.5,,,,,,,,,,,,5,,,
101,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,20,,,,,,,,,,,,4,,,
102,"Ashish, Pranav",18-05-2018,Sapindus laurifolius,5,,,,,,,,,,,,4,,,
103,"Ashish, Pranav",18-05-2018,Gliricidia sepium,16,19,62.9,113,7,12,,,,,,,8,,,
104,"Ashish, Pranav",18-05-2018,Ixora brachiata,27,,,,,,,,,,,,4.5,,,
105,"Ashish, Pranav",18-05-2018,Annona reticulata,58,,,,,,,,,,,,7,B1/P1-39,,
106,"Ashish, Pranav",18-05-2018,Tamarindus indica,34,,,,,,,,,,,,6,,,
107,"Ashish, Pranav",18-05-2018,Malpighia glabra,15,11,8,7,7,11,,,,,,,4,B1/P1-34,earlier identified as Ligustrum. Leaves of this are more rounded than the other Malphigia,
108,"Ashish, Pranav",18-05-2018,Sapindus laurifolius,40.5,,,,,,,,,,,,7,B1/P1-33,,
109,"Ashish, Pranav",18-05-2018,Ixora brachiata,10,,,,,,,,,,,,3,,,
110,"Ashish, Pranav",18-05-2018,Bauhinia purpurea,14,,,,,,,,,,,,3,,,
111,"Ashish, Pranav",18-05-2018,Peltophorum pterocarpum,66.8,,,,,,,,,,,,8,,,
112,"Ashish, Pranav",18-05-2018,Gliricidia sepium,68,,,,,,,,,,,,6,,,
113,"Ashish, Pranav",18-05-2018,Delonix regia,138,,,,,,,,,,,,9,,,
114,"Ashish, Pranav",18-05-2018,Gardenia latifolia,118,,,,,,,,,,,,7,B1/P1-52,Small part of tree dead,
115,"Ashish, Pranav",18-05-2018,Morinda tomentosa,31,17,,,,,,,,,,,6,,,
116,"Ashish, Pranav",18-05-2018,Santalum album,32,,,,,,,,,,,,5,,,
117,"Ashish, Pranav",18-05-2018,Bauhinia purpurea,14.9,,,,,,,,,,,,4,,,
118,"Ashish, Pranav",18-05-2018,Caesalpinia pulcherrima,11,,,,,,,,,,,,3,,,
