,Master file FC Long term transects monitoring,,,,,,,,,,,,,,,,,,,
,Transects in main campus (40),,,,,,,,,,,,,,,,,,,
,Transects on hill (10),,,,,,,,,,,,,,,,,,,
Sr. no,Date,Team,Transect number,Transect name,Species,GBH1 (cm),GBH2 (cm),GBH3 (cm),GBH4 (cm),GBH5 (cm),GBH6 (cm),GBH7 (cm),GBH8 (cm),GBH9 (cm),GBH10 (cm),GBH 11 (cm),GBH 12 (cm),Height (visual estimate),Remarks,Transect landmarks/remark
73,21-06-2018,"Ashish, Akshay, Snehangshu",13,Physics Gulmohar,Mimusops elengii,9,10.6,8.2,,,,,,,,,,3,,
74,21-06-2018,"Ashish, Akshay, Snehangshu",14,Lower rec,Acacia auriculiformis,10.1,9,,,,,,,,,,,3,sapling: Azadirachta (1),first acacia from Botany direction
75,21-06-2018,"Ashish, Akshay, Snehangshu",14,Lower rec,Acacia auriculiformis,12.1,,,,,,,,,,,,3,,Don’t take Dalbergia lanceolaria in nalla
76,21-06-2018,"Ashish, Akshay, Snehangshu",15,Maths chowk,Leucaena leucocephala,106.6,,,,,,,,,,,,13,,start from par wala Leucaena
77,21-06-2018,"Ashish, Akshay, Snehangshu",15,Maths chowk,Leucaena leucocephala,4.4,,,,,,,,,,,,2.5,,
78,21-06-2018,"Ashish, Akshay, Snehangshu",15,Maths chowk,Hibiscus rosa-sinensis,11,9.5,9.9,9.8,6,7,4,8,10,9.8,10.2,,3,,
79,21-06-2018,"Ashish, Akshay, Snehangshu",15,Maths chowk,Leucaena leucocephala,14.8,,,,,,,,,,,,4,,
80,21-06-2018,"Ashish, Akshay, Snehangshu",15,Maths chowk,Leucaena leucocephala,22.6,,,,,,,,,,,,5,,
81,21-06-2018,"Ashish, Akshay, Snehangshu",15,Maths chowk,Hibiscus rosa-sinensis,3.8,9.9,,,,,,,,,,,3,,
82,21-06-2018,"Ashish, Akshay, Snehangshu",15,Maths chowk,Leucaena leucocephala,28,9,,,,,,,,,,,7,,
83,21-06-2018,"Ashish, Akshay, Snehangshu",15,Maths chowk,Hibiscus rosa-sinensis,9,8,9,12.6,12.6,4.5,,,,,,,4,,
84,21-06-2018,"Ashish, Akshay, Snehangshu",15,Maths chowk,Leucaena leucocephala,7,,,,,,,,,,,,4,,
85,21-06-2018,"Ashish, Akshay, Snehangshu",15,Maths chowk,Leucaena leucocephala,8,,,,,,,,,,,,4,,
86,21-06-2018,"Ashish, Akshay, Snehangshu",15,Maths chowk,Hibiscus rosa-sinensis,9.2,7.3,10.6,9,5,6,12.7,,,,,,2.5,,
87,21-06-2018,"Ashish, Akshay, Snehangshu",16,Maths garden,Mitragyna parviflora,39.2,20.5,8,10,,,,,,,,,5,,
88,21-06-2018,"Ashish, Akshay, Snehangshu",16,Maths garden,Grevellia robusta,10.8,,,,,,,,,,,,3,,
89,21-06-2018,"Ashish, Akshay, Snehangshu",16,Maths garden,Ficus benjamina,9.3,5,,,,,,,,,,,2,,
90,21-06-2018,"Ashish, Akshay, Snehangshu",16,Maths garden,Sterculia foetida,114.1,,,,,,,,,,,,14,,
91,21-06-2018,"Ashish, Akshay, Snehangshu",16,Maths garden,Delonix regia,94.9,91.9,,,,,,,,,,,12,,
92,21-06-2018,"Ashish, Akshay, Snehangshu",17,Electronics fence,Delonix regia,124.2,,,,,,,,,,,,12,,start from big gulmohar next to electronics building
93,21-06-2018,"Ashish, Akshay, Snehangshu",17,Electronics fence,Leucaena leucocephala,26.7,,,,,,,,,,,,6,,
94,21-06-2018,"Ashish, Akshay, Snehangshu",17,Electronics fence,Leucaena leucocephala,29.2,,,,,,,,,,,,6,,
95,21-06-2018,"Ashish, Akshay, Snehangshu",17,Electronics fence,Leucaena leucocephala,42.2,,,,,,,,,,,,5,,
96,21-06-2018,"Ashish, Akshay, Snehangshu",17,Electronics fence,Broussonetia papyrifera,9.2,,,,,,,,,,,,3.5,,
97,21-06-2018,"Ashish, Akshay, Snehangshu",17,Electronics fence,Broussonetia papyrifera,18.2,,,,,,,,,,,,6.5,,
98,21-06-2018,"Ashish, Akshay, Snehangshu",17,Electronics fence,Broussonetia papyrifera,6.2,,,,,,,,,,,,2,,
99,21-06-2018,"Ashish, Akshay, Snehangshu",17,Electronics fence,Leucaena leucocephala,23,6,,,,,,,,,,,4,,
100,21-06-2018,"Ashish, Akshay, Snehangshu",17,Electronics fence,Leucaena leucocephala,16.1,,,,,,,,,,,,5,,
101,21-06-2018,"Ashish, Akshay, Snehangshu",17,Electronics fence,Leucaena leucocephala,29,6.6,,,,,,,,,,,8,,
102,21-06-2018,"Ashish, Akshay, Snehangshu",17,Electronics fence,Leucaena leucocephala,6.9,,,,,,,,,,,,3,,
103,21-06-2018,"Ashish, Akshay, Snehangshu",18,Behind Main building,Magnolia champaca,30.9,,,,,,,,,,,,6,,near building
104,21-06-2018,"Ashish, Akshay, Snehangshu",18,Behind Main building,Santalum album,28.9,,,,,,,,,,,,4.5,,
105,21-06-2018,"Ashish, Akshay, Snehangshu",18,Behind Main building,Santalum album,7,,,,,,,,,,,,2,separate plants close to each other,
106,21-06-2018,"Ashish, Akshay, Snehangshu",18,Behind Main building,Santalum album,7,,,,,,,,,,,,2,separate plants close to each other,
107,21-06-2018,"Ashish, Akshay, Snehangshu",19,Physics start,Delonix regia,109.5,,,,,,,,,,,,5,sapling: Tabernaemontana (1),start with gulmohar in cage
108,21-06-2018,"Ashish, Akshay, Snehangshu",19,Physics start,Sweitenia macrophyla,170.5,,,,,,,,,,,,12,confirm species if S. mahogany,
109,21-06-2018,"Ashish, Akshay, Snehangshu",20,Amphi back gate,Terminalia arjuna,35.6,,,,,,,,,,,,4,sapling: Cassia fistula (1),towards ground
110,21-06-2018,"Ashish, Akshay, Snehangshu",20,Amphi back gate,Pongamia pinnata,31.8,41.2,18.7,,,,,,,,,,5.5,,
111,22-06-2018,"Ashish, Akshay, Snehangshu",21,Amphi coconut,Cocos nucifera,70,,,,,,,,,,,,12,,first coconut towards main building
112,22-06-2018,"Ashish, Akshay, Snehangshu",21,Amphi coconut,Cocos nucifera,93.2,,,,,,,,,,,,12,,
113,22-06-2018,"Ashish, Akshay, Snehangshu",21,Amphi coconut,Cocos nucifera,97.1,,,,,,,,,,,,12,,
114,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,57.8,37.6,,,,,,,,,,,10,,first big millingtonia near building opposite main building
115,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,12.5,,,,,,,,,,,,3,,
116,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,12.4,,,,,,,,,,,,5,,
117,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,122.4,,,,,,,,,,,,12,,
118,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Plumeria acutifolia,10.9,10,,,,,,,,,,,3,,
119,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,46.9,,,,,,,,,,,,6,,
120,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Dalbergia sissoo,26.7,,,,,,,,,,,,3.5,,
121,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,2.5,,,,,,,,,,,,2,,
122,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,27.9,29,122.9,,,,,,,,,,8,,
123,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,10.2,,,,,,,,,,,,3,,
124,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,18.1,,,,,,,,,,,,5,,
125,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,24.9,12.3,16.2,,,,,,,,,,4,,
126,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,6.2,,,,,,,,,,,,3,,
127,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,8.2,10.1,7.1,,,,,,,,,,3,,
128,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,27.9,,,,,,,,,,,,5,,
129,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,9.6,,,,,,,,,,,,3,,
130,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,16.4,10.2,9.9,,,,,,,,,,4,,
131,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,8.4,,,,,,,,,,,,3,,
132,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,8.1,,,,,,,,,,,,2.5,,
133,22-06-2018,"Ashish, Akshay, Snehangshu",22,Main circle Millingtonia,Millingtonia hortensis,18.9,,,,,,,,,,,,4,,
134,22-06-2018,"Ashish, Akshay, Snehangshu",23,Main circle planted,NA,,,,,,,,,,,,,,"saplings: Alstonia (1), Butea (1)",from Alstonia towards Kimaya
135,22-06-2018,"Ashish, Akshay, Snehangshu",24,Library entrance coconut,Cocos nucifera,89.2,,,,,,,,,,,,10,,coconut hedge towards kimaya. Start from library entrance coconut
136,22-06-2018,"Ashish, Akshay, Snehangshu",24,Library entrance coconut,Santalum album,11.2,,,,,,,,,,,,4,,
137,22-06-2018,"Ashish, Akshay, Snehangshu",24,Library entrance coconut,Annona reticulata,12.7,,,,,,,,,,,,3,,
138,22-06-2018,"Ashish, Akshay, Snehangshu",24,Library entrance coconut,Caryota urens,96.4,,,,,,,,,,,,12,,
139,22-06-2018,"Ashish, Akshay, Snehangshu",24,Library entrance coconut,Caryota urens,23.6,,,,,,,,,,,,3,,
140,22-06-2018,"Ashish, Akshay, Snehangshu",24,Library entrance coconut,Caryota urens,52.4,,,,,,,,,,,,6,,
141,22-06-2018,"Ashish, Akshay, Snehangshu",24,Library entrance coconut,Dracaena fragrans,11,,,,,,,,,,,,4,not so woody,
142,22-06-2018,"Ashish, Akshay, Snehangshu",24,Library entrance coconut,Annona reticulata,32.2,23.2,,,,,,,,,,,4,,
143,22-06-2018,"Ashish, Akshay, Snehangshu",24,Library entrance coconut,Santalum album,11.9,,,,,,,,,,,,4,,
144,22-06-2018,"Ashish, Akshay, Snehangshu",24,Library entrance coconut,Cocos nucifera,84.1,,,,,,,,,,,,10,,only 2 coconuts in transect. Leave the third one
145,22-06-2018,"Ashish, Akshay, Snehangshu",25,Kimaya Putranjiva,Thevettia peruviana,31,16.9,,,,,,,,,,,6,,
146,22-06-2018,"Ashish, Akshay, Snehangshu",25,Kimaya Putranjiva,Thevettia peruviana,47.1,,,,,,,,,,,,6,,
147,22-06-2018,"Ashish, Akshay, Snehangshu",25,Kimaya Putranjiva,Caryota urens,23.8,,,,,,,,,,,,5.5,,
148,22-06-2018,"Ashish, Akshay, Snehangshu",25,Kimaya Putranjiva,Putranjiva roxburghii,29.8,,,,,,,,,,,,4,,
149,22-06-2018,"Ashish, Akshay, Snehangshu",25,Kimaya Putranjiva,Cocos nucifera,94.2,,,,,,,,,,,,10,,
150,22-06-2018,"Ashish, Akshay, Snehangshu",26,Girls Hostel road,Holoptelia integrifolia,178.9,,,,,,,,,,,,14,A-153 plate,"holoptelia with paar, name plate A-153"
151,22-06-2018,"Ashish, Akshay, Snehangshu",26,Girls Hostel road,Holoptelia integrifolia,201.2,,,,,,,,,,,,14,,with paar
152,22-06-2018,"Ashish, Akshay, Snehangshu",26,Girls Hostel road,Grevellia robusta,11.2,,,,,,,,,,,,3,,
153,22-06-2018,"Ashish, Akshay, Snehangshu",26,Girls Hostel road,Bougainvillea,2.1,,,,,,,,,,,,2,is trimmed at 2m height,
154,22-06-2018,"Ashish, Akshay, Snehangshu",26,Girls Hostel road,Tecoma stans,2.5,,,,,,,,,,,,2,on wall,
155,22-06-2018,"Ashish, Akshay, Snehangshu",26,Girls Hostel road,Leucaena leucocephala,43.2,,,,,,,,,,,,5,,
156,22-06-2018,"Ashish, Akshay, Snehangshu",26,Girls Hostel road,Leucaena leucocephala,64.9,,,,,,,,,,,,9,,
157,22-06-2018,"Ashish, Akshay, Snehangshu",27,Parking gate Holoptelia,Holoptelia integrifolia,122.4,,,,,,,,,,,,10,C-7 plate,from holoptelia towards main building 
158,22-06-2018,"Ashish, Akshay, Snehangshu",27,Parking gate Holoptelia,Tecoma stans,8,12.5,,,,,,,,,,,3,,
